"Table 1.1 Employment by major occupational group, 2019 and projected 2029
 (Numbers in thousands)",,,,,,
2019 National Employment Matrix title and code,,Employment,,"Change, 2019-29",,"Median annual wage, 2019(1)"
,,2019,2029,Number,Percent,
"Total, all occupations",00-0000,"162,795.6","168,834.7","6,039.2",3.7,"$39,810"
Management occupations,11-0000,"10,697.2","11,202.2",505.0,4.7,"$105,660"
Business and financial operations occupations,13-0000,"9,016.3","9,492.5",476.2,5.3,"$69,820"
Computer and mathematical occupations,15-0000,"4,845.1","5,432.4",587.4,12.1,"$88,340"
Architecture and engineering occupations,17-0000,"2,728.9","2,803.7",74.8,2.7,"$81,440"
"Life, physical, and social science occupations",19-0000,"1,460.3","1,528.5",68.2,4.7,"$68,160"
Community and social service occupations,21-0000,"2,797.7","3,146.3",348.6,12.5,"$46,090"
Legal occupations,23-0000,"1,335.6","1,403.2",67.6,5.1,"$81,820"
Educational instruction and library occupations,25-0000,"9,744.7","10,185.6",441.0,4.5,"$50,790"
"Arts, design, entertainment, sports, and media occupations",27-0000,"2,923.6","2,997.6",73.9,2.5,"$51,150"
Healthcare practitioners and technical occupations,29-0000,"9,133.7","9,967.3",833.6,9.1,"$68,190"
Healthcare support occupations,31-0000,"7,013.4","8,598.1","1,584.8",22.6,"$28,470"
Protective service occupations,33-0000,"3,615.9","3,711.1",95.2,2.6,"$41,580"
Food preparation and serving related occupations,35-0000,"13,761.3","14,769.7","1,008.4",7.3,"$24,220"
Building and grounds cleaning and maintenance occupations,37-0000,"5,664.0","5,943.4",279.5,4.9,"$28,330"
Personal care and service occupations,39-0000,"4,724.1","5,088.4",364.3,7.7,"$26,220"
Sales and related occupations,41-0000,"15,525.3","15,222.0",-303.4,-2.0,"$29,630"
Office and administrative support occupations,43-0000,"20,633.0","19,673.3",-959.7,-4.7,"$37,580"
"Farming, fishing, and forestry occupations",45-0000,"1,116.6","1,115.1",-1.5,-0.1,"$27,180"
Construction and extraction occupations,47-0000,"7,349.1","7,645.4",296.3,4.0,"$47,430"
"Installation, maintenance, and repair occupations",49-0000,"6,128.0","6,301.3",173.3,2.8,"$46,630"
Production occupations,51-0000,"9,447.0","9,023.8",-423.2,-4.5,"$36,000"
Transportation and material moving occupations,53-0000,"13,134.8","13,583.6",448.9,3.4,"$32,440"
Footnotes:,,,,,,
"(1) Data are from the Occupational Employment Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,
"Note: Data is unavailable for values denoted with a ""—"".",,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,
